EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country,MultiShowDay
44,2020-01-15,AEW,AEW Dark,AEW Dark #17,Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
45,2020-01-20,AEW,Jericho Cruise Part Deux,Jericho Cruise Part Deux: Second Wave,Televised,USA,USA,USA,USA,False
46,2020-01-21,AEW,AEW Dynamite,AEW Dynamite #16 - Bash At The Beach,Televised,"Nassau, New Providence, Bahamas",Nassau,New Providence,Bahamas,False
47,2020-01-22,AEW,Jericho Cruise Part Deux,Jericho Cruise Part Deux: Second Wave,Televised,USA,USA,USA,USA,False
48,2020-01-23,AEW,Jericho Cruise Part Deux,Jericho Cruise Part Deux: Second Wave,Televised,USA,USA,USA,USA,False
49,2020-01-29,AEW,AEW Dynamite,AEW Dynamite #17,Televised,"Cleveland, Ohio, USA",Cleveland,Ohio,USA,True
50,2020-01-29,AEW,AEW Dark,AEW Dark #18,Televised,"Cleveland, Ohio, USA",Cleveland,Ohio,USA,True
51,2020-02-05,AEW,AEW Dynamite,AEW Dynamite #18,Televised,"Huntsville, Alabama, USA",Huntsville,Alabama,USA,True
52,2020-02-05,AEW,AEW Dark,AEW Dark #19,Televised,"Huntsville, Alabama, USA",Huntsville,Alabama,USA,True
53,2020-02-12,AEW,AEW Dynamite,AEW Dynamite #19,Televised,"Cedar Park, Texas, USA",Cedar Park,Texas,USA,True
54,2020-02-12,AEW,AEW Dark,AEW Dark #20,Televised,"Cedar Park, Texas, USA",Cedar Park,Texas,USA,True
55,2020-02-19,AEW,AEW Dynamite,AEW Dynamite #20,Televised,"Atlanta, Georgia, USA",Atlanta,Georgia,USA,True
56,2020-02-19,AEW,AEW Dark,AEW Dark #21,Televised,"Atlanta, Georgia, USA",Atlanta,Georgia,USA,True
57,2020-02-26,AEW,AEW Dynamite,AEW Dynamite #21,Televised,"Independence, Missouri, USA",Independence,Missouri,USA,True
58,2020-02-26,AEW,AEW Dark,AEW Dark #22,Televised,"Independence, Missouri, USA",Independence,Missouri,USA,True
59,2020-02-29,AEW,AEW Revolution  The Buy In,AEW Revolution 2020 - The Buy In,Televised,"Chicago, Illinois, USA",Chicago,Illinois,USA,True
60,2020-02-29,AEW,AEW Dark,AEW Dark #23,Televised,"Chicago, Illinois, USA",Chicago,Illinois,USA,True
61,2020-02-29,AEW,AEW Revolution,AEW Revolution 2020,PLE/PPV,"Chicago, Illinois, USA",Chicago,Illinois,USA,True
62,2020-03-04,AEW,AEW Dynamite,AEW Dynamite #22,Televised,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,True
63,2020-03-04,AEW,AEW Dark,AEW Dark #24,Televised,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,True
64,2020-03-11,AEW,AEW Dynamite,AEW Dynamite #23,Televised,"West Valley City, Utah, USA",West Valley City,Utah,USA,True
65,2020-03-11,AEW,AEW Dark,AEW Dark #25,Televised,"West Valley City, Utah, USA",West Valley City,Utah,USA,True
66,2020-03-18,AEW,AEW Dynamite,AEW Dynamite #24,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
